posted,neighborhood,post title,number bedrooms,sqft,URL,price
2020-01-20 18:17:00,Seattle,Here's the Best 2-Bedroom Home Located on the Top Floor Corner Unit!,2.0,895.0,https://seattle.craigslist.org/see/apa/d/seattle-heres-the-best-2-bedroom-home/7059977583.html,3345
2020-01-20 18:15:00,4455 Interlake Ave N  Seattle Wa 98103,"Washer & Dryer , Walk In Closets Balcony 1Bed 1Bath Move in 3/10/2020",1.0,610.0,https://seattle.craigslist.org/see/apa/d/seattle-washer-dryer-walk-in-closets/7059976879.html,2518
2020-01-20 18:15:00,1523 E Madison St Seattle,Spacious Micro Flat must see! With a lot of light!,,258.0,https://seattle.craigslist.org/see/apa/d/seattle-spacious-micro-flat-must-see/7059976783.html,1186
2020-01-20 18:14:00,Capitol Hill,"On-street Parking, Front loading washer and dryer, Bike storage",2.0,1191.0,https://seattle.craigslist.org/see/apa/d/seattle-on-street-parking-front-loading/7059976622.html,3987
2020-01-20 18:14:00,4455 Interlake Ave N Seattle Wa 98103,Pet Friendly Community Open 1Bed 1Bath 2nd Floor Courtyard Facing,1.0,665.0,https://seattle.craigslist.org/see/apa/d/seattle-pet-friendly-community-open/7059971434.html,2148
2020-01-20 18:14:00,Downtown Redmond | Marymoor Park | Redmond Town Center,"Spacious Studio, Large Kitchen w/ Custom 2-Tone Cabinetry, W/D in Home",,515.0,https://seattle.craigslist.org/est/apa/d/redmond-spacious-studio-large-kitchen/7059976429.html,1765
2020-01-20 18:14:00,Lower Queen Anne,Loft Home with Private Entrance and 6 Weeks Free! Tour Today!,1.0,633.0,https://seattle.craigslist.org/see/apa/d/seattle-loft-home-with-private-entrance/7059976396.html,2230
2020-01-20 18:14:00,Normandy Park,"Spacious Modern Living, Close to Grocery.",2.0,850.0,https://seattle.craigslist.org/see/apa/d/seattle-spacious-modern-living-close-to/7058726251.html,1395
2020-01-20 18:13:00,Normandy Park,"Remodeled 2 bed apartment, Gorgeous location. UP TO 1 MO FREE",2.0,850.0,https://seattle.craigslist.org/see/apa/d/seattle-remodeled-2-bed-apartment/7058727874.html,1395
2020-01-20 18:13:00,Normandy Park,"Gorgeous Apartment on the Ground Level. Patio, Washer & Dryer.",2.0,850.0,https://seattle.craigslist.org/see/apa/d/gorgeous-apartment-on-the-ground-level/7058725175.html,1495
2020-01-20 18:13:00,Normandy Park,Gorgeous Apartment on the Ground Level /Patio... UP TO 1 MO FREE RENT,1.0,650.0,https://seattle.craigslist.org/see/apa/d/seattle-gorgeous-apartment-on-the/7058727135.html,1195
2020-01-20 18:13:00,Kent,Lovely 2 Bedroom Apartment… Waiting for You to Make it Home!,2.0,970.0,https://seattle.craigslist.org/skc/apa/d/kent-lovely-2-bedroom-apartment-waiting/7059975936.html,1715
2020-01-20 18:13:00,West Seattle,Spacious 1x1  Corner Unit With Easy Access to Bus Lines,1.0,667.0,https://seattle.craigslist.org/see/apa/d/seattle-spacious-1x1-corner-unit-with/7059963925.html,2042
2020-01-20 18:13:00,Renton Highlands,Deluxe home with high end finishes!! available now!!!,2.0,1076.0,https://seattle.craigslist.org/skc/apa/d/renton-deluxe-home-with-high-end/7059975887.html,2214
2020-01-20 18:12:00,Lower Queen Anne,"Lower Queen Anne 2 Bedroom 2 Bath, Full W/D, Floor-Ceiling Windows",2.0,1099.0,https://seattle.craigslist.org/see/apa/d/seattle-lower-queen-anne-2-bedroom-2/7059975567.html,3850
2020-01-20 18:12:00,West Seattle,"Spacious&Bright 1BR in Convenient Location, W/D in unit",1.0,590.0,https://seattle.craigslist.org/see/apa/d/spaciousbright-1br-in-convenient/7048611660.html,1070
2020-01-20 18:11:00,West Seattle,Spacious Bright One Bedroom in Convenient Location,1.0,590.0,https://seattle.craigslist.org/see/apa/d/seattle-spacious-bright-one-bedroom-in/7048612337.html,1070
2020-01-20 18:11:00,Beacon Hill,Brand new house in convenience area,2.0,,https://seattle.craigslist.org/see/apa/d/seattle-brand-new-house-in-convenience/7059975359.html,2000
2020-01-20 18:11:00,1823 Terry Avenue,Where Luxury City Living Reaches New Heights!,2.0,1142.0,https://seattle.craigslist.org/see/apa/d/seattle-where-luxury-city-living/7059975320.html,3404
2020-01-20 18:11:00,Tacoma,Midland Area Two Bedroom Apartment,2.0,880.0,https://seattle.craigslist.org/tac/apa/d/midland-area-two-bedroom-apartment/7059975285.html,1225
2020-01-20 18:11:00,Kenmore,Looking for March? Limited Top Floor 2x2 Available for Pre-lease!!,2.0,920.0,https://seattle.craigslist.org/est/apa/d/kenmore-looking-for-march-limited-top/7059975251.html,1925
2020-01-20 18:11:00,Lynnwood,Say Hello To Your New Home 🖐,1.0,546.0,https://seattle.craigslist.org/sno/apa/d/lynnwood-say-hello-to-your-new-home/7059975063.html,1176
2020-01-20 18:10:00,Queen Anne - Seattle - Walk To Fb,"24-hour fitness center, USB outlets, New carpet in bedrooms",2.0,1001.0,https://seattle.craigslist.org/see/apa/d/seattle-24-hour-fitness-center-usb/7059974882.html,2905
2020-01-20 18:10:00,Kirkland - Hot Special... Call Now,Our Cozy Wood Burning Fireplaces Are Almost As Hot As These Deals!,2.0,843.0,https://seattle.craigslist.org/est/apa/d/kirkland-our-cozy-wood-burning/7059974679.html,1763
2020-01-20 18:09:00,Seattle,"Designer surfaces! Very spacious plan, 2BR 2BA apt, Modern LUX kitchen",2.0,975.0,https://seattle.craigslist.org/see/apa/d/seattle-designer-surfaces-very-spacious/7053506565.html,2550
2020-01-20 18:08:00,Woodinville,Perfect apartment for roommates!!,2.0,1046.0,https://seattle.craigslist.org/est/apa/d/woodinville-perfect-apartment-for/7059970958.html,2170
2020-01-20 18:08:00,South Everett,"So Low You Can't Say No! New Renovated, Top Floor! Move In Now!!",2.0,813.0,https://seattle.craigslist.org/sno/apa/d/everett-so-low-you-cant-say-no-new/7058778985.html,1435
2020-01-20 18:08:00,North Tacoma,55+ Senior Apartment,1.0,578.0,https://seattle.craigslist.org/tac/apa/d/tacoma-55-senior-apartment/7056109577.html,855
2020-01-20 18:07:00,Redond Town Center,Live Talisman!,2.0,,https://seattle.craigslist.org/est/apa/d/redmond-live-talisman/7059973663.html,3470
2020-01-20 18:07:00,Puyallup,Come See This Wonderful 2 Bed 1 Bath Located on Third Floor Level!,2.0,890.0,https://seattle.craigslist.org/tac/apa/d/puyallup-come-see-this-wonderful-2-bed/7059973412.html,1400
2020-01-20 18:06:00,4208 236Th Street Sw Mountlake Terrace,Close to Everything But Surrounded by Greenery! A Must See! 2 Bedroom,2.0,884.0,https://seattle.craigslist.org/sno/apa/d/mountlake-terrace-close-to-everything/7059973273.html,1600
2020-01-20 18:06:00,1823 Terry Avenue,Apartments Tailored To Your Highest Standards!,2.0,1142.0,https://seattle.craigslist.org/see/apa/d/seattle-apartments-tailored-to-your/7059973256.html,3609
2020-01-20 18:05:00,Lynnwood,Who Needs A Bedroom Anyway? This Studio Has It All 🤗,,416.0,https://seattle.craigslist.org/sno/apa/d/lynnwood-who-needs-bedroom-anyway-this/7059972898.html,1096
2020-01-20 18:05:00,Seattle,So hipster it should be on a sitcom! Views from Baker to Rainer!,2.0,1160.0,https://seattle.craigslist.org/see/apa/d/seattle-so-hipster-it-should-be-on/7059972813.html,2410
2020-01-20 18:05:00,17716 Bothell Everett Hwy Bothell,4 Bedroom Available! Free January Rent! Apply Now!!,4.0,1301.0,https://seattle.craigslist.org/sno/apa/d/bothell-4-bedroom-available-free/7059968622.html,1807
2020-01-20 18:05:00,South Lake Union,Gorgeous Home with Balcony!,1.0,745.0,https://seattle.craigslist.org/see/apa/d/seattle-gorgeous-home-with-balcony/7059972626.html,3673
2020-01-20 18:04:00,3005 125Th Ave Se Bellevue,1st Floor 2 bed 2 Bath Bath! Call Now For Details,2.0,996.0,https://seattle.craigslist.org/est/apa/d/bellevue-1st-floor-2-bed-2-bath-bath/7059972363.html,1850
2020-01-20 18:04:00,3005 125Th Ave Se Bellevue,Updated 1st Floor 2x2 With Washer/Dryer In Home!,2.0,996.0,https://seattle.craigslist.org/est/apa/d/bellevue-updated-1st-floor-2x2-with/7059972115.html,1850
2020-01-20 18:04:00,Tacoma,Beautiful 2 bedroom ready for move in!!,2.0,1050.0,https://seattle.craigslist.org/tac/apa/d/tacoma-beautiful-2-bedroom-ready-for/7059972079.html,1518
2020-01-20 18:04:00,Olympic Hill,"o	First floor, Spacious, Stainless Steel appliances!!! SPECIALS",2.0,860.0,https://seattle.craigslist.org/see/apa/d/seattle-first-floor-spacious-stainless/7059972071.html,1525
2020-01-20 18:03:00,Downtown Kirkland,"Expansive windows with Lake Washington, mountain and city views",,573.0,https://seattle.craigslist.org/est/apa/d/kirkland-expansive-windows-with-lake/7059971658.html,2170
2020-01-20 18:03:00,220 Newport Way Sw Issaquah,First Floor 2x1 With Patio! Call Now!,2.0,914.0,https://seattle.craigslist.org/est/apa/d/issaquah-first-floor-2x1-with-patio/7059971643.html,1599
2020-01-20 18:03:00,3910 N. 28Th St,"Courtyard, Attached Retail and Restaurants, Large Closets, Elevator",1.0,621.0,https://seattle.craigslist.org/tac/apa/d/tacoma-courtyard-attached-retail-and/7059971556.html,1625
2020-01-20 18:03:00,Beacon Hill,Two Rooftop Pet Parks & 24 Hour Gym~ Huge Loft w/ 6 Weeks FREE,1.0,1347.0,https://seattle.craigslist.org/see/apa/d/seattle-two-rooftop-pet-parks-24-hour/7059971537.html,2575
2020-01-20 18:02:00,Seattle,"Large, Sunny 2 Bedroom- NOW Ready- Call Today to View!!!!",,955.0,https://seattle.craigslist.org/see/apa/d/seattle-large-sunny-2-bedroom-now-ready/7059971507.html,2165
2020-01-20 18:02:00,220 Newport Way Sw Issaquah,2 Bed 1 Bath On Issaquah Creek! Call Now!,2.0,914.0,https://seattle.craigslist.org/est/apa/d/issaquah-2-bed-1-bath-on-issaquah-creek/7059971334.html,1599
2020-01-20 18:02:00,Lower Queen Anne,"Traditional 1 bed/ 1 bath, large closets, and A/c in unit",1.0,583.0,https://seattle.craigslist.org/see/apa/d/seattle-traditional-1-bed-1-bath-large/7059971213.html,2377
2020-01-20 18:02:00,First Hill,"Great 2x2 corner unit w/NE views, W&D in unit close to grocerys!",2.0,956.0,https://seattle.craigslist.org/see/apa/d/seattle-great-2x2-corner-unit-ne-views/7059971146.html,3170
2020-01-20 18:01:00,Proctor District,"24hr Pet Spa, Rooftop BBQ Kitchen, Two Toned Cabinetry",1.0,624.0,https://seattle.craigslist.org/tac/apa/d/tacoma-24hr-pet-spa-rooftop-bbq-kitchen/7059971070.html,1655
2020-01-20 18:01:00,Fife,"Covered Parking Available, Easy Access to Shopping, Black Appliances",1.0,693.0,https://seattle.craigslist.org/see/apa/d/tacoma-covered-parking-available-easy/7059971049.html,1274
2020-01-20 18:01:00,West Seattle,MOVE IN SPECIAL!  $500 OFF 1st Month Rent,2.0,1015.0,https://seattle.craigslist.org/see/apa/d/seattle-move-in-special-500-off-1st/7047642058.html,2295
2020-01-20 18:01:00,West Seattle,MOVE IN SPECIAL!  $300 OFF 1st Month Rent,1.0,,https://seattle.craigslist.org/see/apa/d/seattle-move-in-special-300-off-1st/7056238797.html,1565
2020-01-20 18:00:00,Mercer Island,Spacious Lofted Studio in Beautiful Community,,724.0,https://seattle.craigslist.org/est/apa/d/mercer-island-spacious-lofted-studio-in/7059970611.html,2116
2020-01-20 18:00:00,Issaquah,"Your Search Ends Here! Luxury 2BR, 2BA Avail. NOW!",2.0,1041.0,https://seattle.craigslist.org/est/apa/d/issaquah-your-search-ends-here-luxury/7059970550.html,2580
2020-01-20 18:00:00,Lynnwood,Only The Cool Kids Have Breakfast Bars 😎,1.0,546.0,https://seattle.craigslist.org/sno/apa/d/lynnwood-only-the-cool-kids-have/7059970399.html,1176
2020-01-20 18:00:00,Kent,Cozy 2 Bedroom Available W/ Utilities Included!!,2.0,854.0,https://seattle.craigslist.org/see/apa/d/kent-cozy-2-bedroom-available-utilities/7059970337.html,1422
2020-01-20 18:00:00,Bellevue Factoria Area,townhouse unit for rent,2.0,1400.0,https://seattle.craigslist.org/est/apa/d/bellevue-townhouse-unit-for-rent/7059970254.html,1700
