posted,neighborhood,post title,number bedrooms,sqft,URL,price
2020-01-17 19:51:00,Puyallup,"Amazing 3 bed, 2 bath fully renovated duplex in Puyallup!",3.0,1470.0,https://seattle.craigslist.org/see/apa/d/puyallup-amazing-3-bed-2-bath-fully/7058226697.html,1875
2020-01-17 19:51:00,Redmond,"Walk-in closet, 2 bedroom apt, Separate laundry room, Cozy fireplace",2.0,843.0,https://seattle.craigslist.org/est/apa/d/bellevue-walk-in-closet-2-bedroom-apt/7053532916.html,1900
2020-01-17 19:50:00,Kent,Come join our community! Signature Pointe Apartments!,1.0,700.0,https://seattle.craigslist.org/skc/apa/d/kent-come-join-our-community-signature/7052890932.html,1499
2020-01-17 19:50:00,Kent,Home is where the heart is. Signature Pointe is your next home.,2.0,940.0,https://seattle.craigslist.org/skc/apa/d/kent-home-is-where-the-heart-is/7052417968.html,1799
2020-01-17 19:50:00,Kent,2BD 2.5BA TOWNHOME READY NOW! CALL OR VISIT US TODAY!WE HAVE SPECIALS!,2.0,1208.0,https://seattle.craigslist.org/skc/apa/d/kent-2bd-25ba-townhome-ready-now-call/7056917199.html,1879
2020-01-17 19:49:00,Kent,"Everything a dream home has, we have it all here! Lease now @Signature Pointe!",3.0,1300.0,https://seattle.craigslist.org/skc/apa/d/kent-everything-dream-home-has-we-have/7056864335.html,2089
2020-01-17 19:49:00,Kent,Live at the center of modern conveniences & entertainment,2.0,940.0,https://seattle.craigslist.org/skc/apa/d/kent-live-at-the-center-of-modern/7056832886.html,1799
2020-01-17 19:49:00,Kent,SETTLE NOW AND COZY UP WITH YOUR NEW HOME! CHECK OUT SIGNATURE POINTE NOW!,2.0,940.0,https://seattle.craigslist.org/skc/apa/d/kent-settle-now-and-cozy-up-with-your/7054947300.html,1849
2020-01-17 19:48:00,Mount Vernon,Spacious Two Stories Duplex with Large Fenced Yard!,3.0,1272.0,https://seattle.craigslist.org/see/apa/d/mount-vernon-spacious-two-stories/7058225738.html,1795
2020-01-17 19:48:00,Bainbridge Island,BEAUTIFUL RESIDENTIAL HOME,4.0,2413.0,https://seattle.craigslist.org/kit/apa/d/manchester-beautiful-residential-home/7051873409.html,3400
2020-01-17 19:48:00,Monroe,House with room for rent all utilities included,1.0,,https://seattle.craigslist.org/sno/apa/d/house-with-room-for-rent-all-utilities/7058222856.html,750
2020-01-17 19:47:00,Bainbridge Island,HARBOR SQUARE CONDOMINIUM,2.0,1308.0,https://seattle.craigslist.org/kit/apa/d/bainbridge-island-harbor-square/7051873287.html,2995
2020-01-17 19:47:00,Tacoma,"Fully remodeled 2 bed, 1 bath apartment with granite countertops!",2.0,700.0,https://seattle.craigslist.org/see/apa/d/lakewood-fully-remodeled-2-bed-1-bath/7058225259.html,1050
2020-01-17 19:45:00,Lakewood,"Amazing, fully renovated 3 bed, 1 bath in the heart of Tacoma",3.0,1100.0,https://seattle.craigslist.org/tac/apa/d/tacoma-amazing-fully-renovated-3-bed-1/7058224908.html,1495
2020-01-17 19:44:00,Federal Way,"Four bedroom, one bath home in the heart of Auburn available NOW",4.0,2500.0,https://seattle.craigslist.org/see/apa/d/federal-way-four-bedroom-one-bath-home/7058224621.html,2145
2020-01-17 19:43:00,Seattle,furnished one bedroom condo 650 square feet Capitol Hill,1.0,650.0,https://seattle.craigslist.org/see/apa/d/seattle-furnished-one-bedroom-condo-650/7053845492.html,2500
2020-01-17 19:42:00,Kent,"1 bed with Vaulted Ceilings, Views, & All Major Appliances!",1.0,700.0,https://seattle.craigslist.org/skc/apa/d/kent-1-bed-with-vaulted-ceilings-views/7058224004.html,1271
2020-01-17 19:42:00,Tacoma,New Listing,2.0,858.0,https://seattle.craigslist.org/tac/apa/d/tacoma-new-listing/7050641152.html,1400
2020-01-17 19:39:00,South Lake Union,"Modern Living, Perfected: Your Respite from the Rain, Coming Feb 3",1.0,716.0,https://seattle.craigslist.org/see/apa/d/seattle-modern-living-perfected-your/7058220239.html,2850
2020-01-17 19:39:00,Monroe,House share,1.0,,https://seattle.craigslist.org/sno/apa/d/monroe-house-share/7055027228.html,800
2020-01-17 19:39:00,Monroe,Wanted roommate for house share,1.0,,https://seattle.craigslist.org/sno/apa/d/wanted-roommate-for-house-share/7053900161.html,800
2020-01-17 19:38:00,Edmonds,"Chic, huge and affordable Edmonds apartment!",2.0,895.0,https://seattle.craigslist.org/sno/apa/d/lynnwood-chic-huge-and-affordable/7058222745.html,1525
2020-01-17 19:37:00,Downtown,"2 Bed /2 Bath, Certified at LEED Gold, Hardwood-inspired flooring",2.0,1295.0,https://seattle.craigslist.org/see/apa/d/seattle-2-bed-2-bath-certified-at-leed/7054431374.html,4050
2020-01-17 19:37:00,Monroe,1Bd 1.5Ba utilities include furnished Shared house,1.0,,https://seattle.craigslist.org/sno/apa/d/1bd-15ba-utilities-include-furnished/7058222266.html,750
2020-01-17 19:35:00,Lynnwood,"You have to come see for yourself! 1x1 avail now! W/D, F/P & spacious!",1.0,780.0,https://seattle.craigslist.org/sno/apa/d/lynnwood-you-have-to-come-see-for/7046981322.html,1615
2020-01-17 19:34:00,Capitol Hill,—Receive 1 Month Free On This 2 Bedroom Home—,2.0,765.0,https://seattle.craigslist.org/see/apa/d/seattle-receive-1-month-free-on-this-2/7058221429.html,2095
2020-01-17 19:33:00,Pet Friendly On First Hill,New Lower Rate on this 2x1 with 1 Month Free!,2.0,765.0,https://seattle.craigslist.org/see/apa/d/seattle-new-lower-rate-on-this-2x1-with/7058221137.html,2095
2020-01-17 19:33:00,Seattle,2br - 925ft2 - Renovated 2bd Apt Near Ballard Locks- Avail Now,2.0,925.0,https://seattle.craigslist.org/see/apa/d/seattle-2br-925ft2-renovated-2bd-apt/7058220396.html,1995
2020-01-17 19:32:00,Seattle,Renovated 1BD Apt Near Ballard Locks/Downtown Ballard,1.0,650.0,https://seattle.craigslist.org/see/apa/d/seattle-renovated-1bd-apt-near-ballard/7058220595.html,1495
2020-01-17 19:32:00,Gorgeous Home With Condo Quality Finishes,"|| Modern, Convenient, and Sophisticated ||",1.0,716.0,https://seattle.craigslist.org/see/apa/d/seattle-modern-convenient-and/7058220705.html,2850
2020-01-17 19:32:00,Near Jblm And Lakewood Towne Center,Wellstone at Bridgeport! Spacious Open One Bedroom! Call today!,1.0,600.0,https://seattle.craigslist.org/tac/apa/d/lakewood-wellstone-at-bridgeport/7055610144.html,1499
2020-01-17 19:28:00,Ballard,Ballard Studio Cottage for Lease,,450.0,https://seattle.craigslist.org/see/apa/d/seattle-ballard-studio-cottage-for-lease/7058219441.html,1495
2020-01-17 19:27:00,Capitol Hill By Eastlake,** Spectacular View ** Seattle Landmark Building**,1.0,680.0,https://seattle.craigslist.org/see/apa/d/seattle-spectacular-view-seattle/7058219102.html,1695
2020-01-17 19:27:00,Seattle,Five Bedroom Home for Lease ~ Wallingford,5.0,2420.0,https://seattle.craigslist.org/see/apa/d/seattle-five-bedroom-home-for-lease/7058219035.html,5000
2020-01-17 19:25:00,Phinney Ridge Between Ballard & Greenlake,** Amazing Views!! ** Available Now **,2.0,980.0,https://seattle.craigslist.org/see/apa/d/seattle-amazing-views-available-now/7058218472.html,1995
2020-01-17 19:22:00,Bremerton,***2 bedrooms with an awesome view of the water***,2.0,1200.0,https://seattle.craigslist.org/kit/apa/d/bremerton-2-bedrooms-with-an-awesome/7058217668.html,1550
2020-01-17 19:21:00,Bremerton,****AWSOME VIEW OF SINCLAIR INLET****,2.0,1200.0,https://seattle.craigslist.org/kit/apa/d/bremerton-awsome-view-of-sinclair-inlet/7053825184.html,1550
2020-01-17 19:19:00,Kent,A MUST HAVE PLACE FOR YOU AND YOUR FAM! VISIT SIGNATURE POINTE NOW!,1.0,700.0,https://seattle.craigslist.org/skc/apa/d/kent-must-have-place-for-you-and-your/7054930918.html,1499
2020-01-17 19:18:00,Kent,A commuter's dream living here @Signature Pointe!,2.0,1208.0,https://seattle.craigslist.org/see/apa/d/kent-commuters-dream-living-here/7056655164.html,1879
2020-01-17 19:18:00,North Queen Anne,HUGE!!! Renovated 2 bedroom in an amazing location,2.0,918.0,https://seattle.craigslist.org/see/apa/d/seattle-huge-renovated-2-bedroom-in-an/7056869543.html,2195
2020-01-17 19:18:00,Kent,"2nd top floor, cornet unit, trail view! Call today and schedule a tour!",2.0,915.0,https://seattle.craigslist.org/see/apa/d/kent-2nd-top-floor-cornet-unit-trail/7056650581.html,1699
2020-01-17 19:18:00,Lower Queen Anne,Brand NEW remodel w/ AMAZING VIEWS!!  Come check it out!,1.0,525.0,https://seattle.craigslist.org/see/apa/d/seattle-brand-new-remodel-amazing-views/7056863230.html,1695
2020-01-17 19:18:00,Kent,2 BED 2 BATH!! REDUCED PRICE  COFFEE ON US!! STOP IN FOR A TOUR!!,2.0,900.0,https://seattle.craigslist.org/skc/apa/d/kent-2-bed-2-bath-reduced-price-coffee/7058216454.html,1559
2020-01-17 19:18:00,Kent,$$$ OFF SPECIALS!! MAKE THE MOVE NOW AND MOVE AT SIGNATURE POINTE APTS!!,3.0,1300.0,https://seattle.craigslist.org/see/apa/d/kent-off-specials-make-the-move-now-and/7056671982.html,2089
2020-01-17 19:18:00,Kent Wa,"Stay Warm and Cozy All Winter Long, We Can Help!!",1.0,700.0,https://seattle.craigslist.org/skc/apa/d/kent-stay-warm-and-cozy-all-winter-long/7053004181.html,1499
2020-01-17 19:18:00,Kent,$200 OFF FIRST MONTHS RENT!CALL US TODAY! 2ND TOP FLOOR CORNER UNIT!,1.0,700.0,https://seattle.craigslist.org/see/apa/d/kent-200-off-first-months-rentcall-us/7049166771.html,1489
2020-01-17 19:16:00,Seattle,1BR apt has Vanity | Large bathroom | Pets welcome | Kitchen w/ it all,1.0,400.0,https://seattle.craigslist.org/see/apa/d/seattle-1br-apt-has-vanity-large/7055491358.html,1329
2020-01-17 19:15:00,Shelton Wa Hood Canal,Cozy Vintage A-Frame Beach Cabin,2.0,972.0,https://seattle.craigslist.org/oly/apa/d/grapeview-cozy-vintage-frame-beach-cabin/7058215531.html,1400
2020-01-17 19:14:00,Shelton Wa Hood Canal,Cozy Vintage A-Frame Beach Cabin,2.0,972.0,https://seattle.craigslist.org/oly/apa/d/grapeview-cozy-vintage-frame-beach-cabin/7055804412.html,1500
2020-01-17 19:14:00,Kirkland Juanita Totem Lake,One Bedroom - Walk In Closet - Bay Window $99 Deposit 🎉,1.0,730.0,https://seattle.craigslist.org/est/apa/d/kirkland-one-bedroom-walk-in-closet-bay/7053487893.html,1499
2020-01-17 19:14:00,Shelton Wa Hood Canal,Cozy Vintage A-Frame Beach Cabin,2.0,972.0,https://seattle.craigslist.org/oly/apa/d/grapeview-cozy-vintage-frame-beach-cabin/7056810459.html,1400
2020-01-17 19:13:00,220 10Th Ave Seattle,What a view from this Loft on the top floor with tons of light!,,404.0,https://seattle.craigslist.org/see/apa/d/seattle-what-view-from-this-loft-on-the/7058214336.html,1450
2020-01-17 19:11:00,Belltown,ONE BEDROOM PLUS DEN WITH 6 WEEKS FREE! $1000 VISA GIFT CARD,2.0,760.0,https://seattle.craigslist.org/see/apa/d/seattle-one-bedroom-plus-den-with-6/7058211596.html,2631
2020-01-17 19:11:00,Ballard,"24/7 controlled access Luxer One package room, Solar shades, Pantries",1.0,664.0,https://seattle.craigslist.org/see/apa/d/seattle-24-7-controlled-access-luxer/7050496232.html,2227
2020-01-17 19:09:00,Federal Way,"Great 2 bed, 1.5 bath townhome in Auburn with fireplace",2.0,1248.0,https://seattle.craigslist.org/see/apa/d/auburn-great-2-bed-15-bath-townhome-in/7058209961.html,1499
2020-01-17 19:08:00,South Everett,1 Bedroom Apt. Clean and Quiet,1.0,,https://seattle.craigslist.org/sno/apa/d/1-bedroom-apt-clean-and-quiet/7058213389.html,995
2020-01-17 19:06:00,Kirkland Juanita Bothell Kenmore,Look and Lease $99 Deposit - One Bedroom Avail. Now,1.0,730.0,https://seattle.craigslist.org/est/apa/d/kirkland-look-and-lease-99-deposit-one/7053487180.html,1499
2020-01-17 19:06:00,Seattle,Furnished MFTE studio right next to UW! Available early Feb,1.0,297.0,https://seattle.craigslist.org/see/apa/d/seattle-furnished-mfte-studio-right/7058212471.html,1129
2020-01-17 19:06:00,Kent,Signature Pointe Apartments! Now Leasing!,1.0,700.0,https://seattle.craigslist.org/skc/apa/d/kent-signature-pointe-apartments-now/7052915710.html,1489
2020-01-17 19:05:00,Kent,Properly designed. Smartly priced. Ready for Move-in!,2.0,940.0,https://seattle.craigslist.org/skc/apa/d/kent-properly-designed-smartly-priced/7056864767.html,1799
2020-01-17 19:05:00,Kent,Life is so much better here @Signature Pointe!,2.0,1208.0,https://seattle.craigslist.org/skc/apa/d/kent-life-is-so-much-better-here/7049089578.html,1879
2020-01-17 19:05:00,Kent,"$$$ OFF SPECIALS!! SIGNATURE POINTE APTS., NOW LEASING!!",2.0,1208.0,https://seattle.craigslist.org/skc/apa/d/kent-off-specials-signature-pointe-apts/7056917863.html,1879
2020-01-17 19:05:00,Snohomish County,Love Where You Live at Villas at Arlington!,3.0,1104.0,https://seattle.craigslist.org/sno/apa/d/north-lakewood-love-where-you-live-at/7055594183.html,1580
2020-01-17 19:04:00,U District,AWESOME 1BR CLOSE TO EVERYTHING!!,1.0,550.0,https://seattle.craigslist.org/see/apa/d/seattle-awesome-1br-close-to-everything/7058210727.html,1495
2020-01-17 19:04:00,Kent,Supreme residences for a modern lifestyle here @Signature Pointe,3.0,1300.0,https://seattle.craigslist.org/skc/apa/d/kent-supreme-residences-for-modern/7053816473.html,2089
2020-01-17 19:04:00,Kent,Your Beautiful home is here at Signature Pointe Apartments!,1.0,700.0,https://seattle.craigslist.org/skc/apa/d/kent-your-beautiful-home-is-here-at/7051636297.html,1499
2020-01-17 19:04:00,Federal Way,We have the wonderful 1 bed/1 bath in Auburn you’ve been waiting for!,1.0,700.0,https://seattle.craigslist.org/see/apa/d/auburn-we-have-the-wonderful-1-bed-1/7058207899.html,1095
2020-01-17 19:04:00,Federal Way,Move-In Within 2 Weeks of Approval and Get 1/2 Off 3rd Month's Rent!,2.0,900.0,https://seattle.craigslist.org/see/apa/d/auburn-move-in-within-2-weeks-of/7058208527.html,1200
2020-01-17 19:03:00,Sea Tac,Cozy 1 Bedroom Apartment!,1.0,469.0,https://seattle.craigslist.org/see/apa/d/seattle-cozy-1-bedroom-apartment/7058201480.html,1025
2020-01-17 19:02:00,14615 Madison Way Lynnwood,Love Where You Live,4.0,1445.0,https://seattle.craigslist.org/sno/apa/d/lynnwood-love-where-you-live/7058203774.html,1818
2020-01-17 19:01:00,Downtown Bellevue,"Brand New Apartments, Trash and Recycling on Each Floor, Solar Shades",1.0,,https://seattle.craigslist.org/est/apa/d/bellevue-brand-new-apartments-trash-and/7058210738.html,1968
2020-01-17 19:00:00,Seattle - Capitol Hill,Studio Unit in Capitol Hill!! Income Restricted Unit,,378.0,https://seattle.craigslist.org/see/apa/d/seattle-studio-unit-in-capitol-hill/7058197520.html,950
2020-01-17 19:00:00,Federal Way,Great apartment in a great location!,1.0,600.0,https://seattle.craigslist.org/tac/apa/d/tacoma-great-apartment-in-great-location/7058210530.html,995
